[2025-06-22 17:47:43 AEST][fetch_ha_icons.sh] No icon for sony_bravia_tv (tried svg+png at https://brands.home-assistant.io/sony-bravia-tv)
[2025-06-22 17:48:01 AEST][fetch_ha_icons.sh] Failed to fetch zigbee2mqtt icon from https://raw.githubusercontent.com/Koenkk/zigbee2mqtt/master/docs/images/logo.png
[2025-06-22 17:48:33 AEST][fetch_extra_icons.sh] Could not fetch any logo for sony_bravia_tv
[2025-06-22 17:48:37 AEST][fetch_extra_icons.sh] Could not fetch any logo for zigbee2mqtt
[2025-06-22 17:48:38 AEST][fetch_extra_icons.sh] Landing page did not reference new icons
[2025-06-22 18:14:52 AEST][fetch_extra_icons] zigbee2mqtt fetch failed
[2025-06-22 18:17:06 AEST][fetch_ha_icons] Z2M icon failed
[2025-06-22 18:17:45 AEST][fetch_extra_icons] zigbee2mqtt icon fetch failed
[2025-06-22 18:19:38 AEST][fetch_extra_icons] zigbee2mqtt fetch failed
[2025-06-22 18:20:17 AEST][fetch_ha_icons] sony_bravia_tv fetch failed
[2025-06-22 18:20:28 AEST][fetch_ha_icons] zigbee2mqtt fetch failed
[2025-06-22 18:33:31 AEST][fetch_ha_icons.sh] Failed fetching icon for sony_bravia_tv
[2025-06-24 09:57:42 AEST][fetch_ha_icons.sh] Failed icon for elgato_light
[2025-06-24 09:57:46 AEST][fetch_ha_icons.sh] Failed icon for fully_kiosk_browser
[2025-06-24 09:58:04 AEST][fetch_ha_icons.sh] Failed icon for konnected_io
[2025-06-24 09:58:16 AEST][fetch_ha_icons.sh] Failed icon for open_thread_border_router
[2025-06-24 09:58:37 AEST][fetch_ha_icons.sh] Failed icon for smlight_slzb
[2025-06-25 03:05:14 AEST][fetch_ha_icons.sh] Failed icon for elgato_light
[2025-06-25 03:05:18 AEST][fetch_ha_icons.sh] Failed icon for fully_kiosk_browser
[2025-06-25 03:05:39 AEST][fetch_ha_icons.sh] Failed icon for konnected_io
[2025-06-25 03:05:53 AEST][fetch_ha_icons.sh] Failed icon for open_thread_border_router
[2025-06-25 03:06:17 AEST][fetch_ha_icons.sh] Failed icon for smlight_slzb
[2025-06-26 03:05:21 AEST][fetch_ha_icons.sh] Failed icon for elgato_light
[2025-06-26 03:05:26 AEST][fetch_ha_icons.sh] Failed icon for fully_kiosk_browser
[2025-06-26 03:05:49 AEST][fetch_ha_icons.sh] Failed icon for konnected_io
[2025-06-26 03:06:04 AEST][fetch_ha_icons.sh] Failed icon for open_thread_border_router
[2025-06-26 03:06:29 AEST][fetch_ha_icons.sh] Failed icon for smlight_slzb
[2025-06-27 03:05:15 AEST][fetch_ha_icons.sh] Failed icon for elgato_light
[2025-06-27 03:05:19 AEST][fetch_ha_icons.sh] Failed icon for fully_kiosk_browser
[2025-06-27 03:05:35 AEST][fetch_ha_icons.sh] Failed icon for konnected_io
[2025-06-27 03:05:47 AEST][fetch_ha_icons.sh] Failed icon for open_thread_border_router
[2025-06-27 03:06:08 AEST][fetch_ha_icons.sh] Failed icon for smlight_slzb
[2025-06-28 03:05:22 AEST][fetch_ha_icons.sh] Failed icon for elgato_light
[2025-06-28 03:05:27 AEST][fetch_ha_icons.sh] Failed icon for fully_kiosk_browser
[2025-06-28 03:05:47 AEST][fetch_ha_icons.sh] Failed icon for konnected_io
[2025-06-28 03:06:03 AEST][fetch_ha_icons.sh] Failed icon for open_thread_border_router
[2025-06-28 03:06:29 AEST][fetch_ha_icons.sh] Failed icon for smlight_slzb
[2025-06-29 03:05:16 AEST][fetch_ha_icons.sh] Failed icon for elgato_light
[2025-06-29 03:05:20 AEST][fetch_ha_icons.sh] Failed icon for fully_kiosk_browser
[2025-06-29 03:05:36 AEST][fetch_ha_icons.sh] Failed icon for konnected_io
[2025-06-29 03:05:48 AEST][fetch_ha_icons.sh] Failed icon for open_thread_border_router
[2025-06-29 03:06:08 AEST][fetch_ha_icons.sh] Failed icon for smlight_slzb
[2025-06-30 03:05:21 AEST][fetch_ha_icons.sh] Failed icon for elgato_light
[2025-06-30 03:05:27 AEST][fetch_ha_icons.sh] Failed icon for fully_kiosk_browser
[2025-06-30 03:05:46 AEST][fetch_ha_icons.sh] Failed icon for konnected_io
[2025-06-30 03:06:01 AEST][fetch_ha_icons.sh] Failed icon for open_thread_border_router
[2025-06-30 03:06:27 AEST][fetch_ha_icons.sh] Failed icon for smlight_slzb
[2025-07-01 03:05:11 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-02 03:05:16 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-03 03:05:15 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-04 03:05:16 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-05 03:05:11 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-06 03:05:16 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-07 03:05:11 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-08 03:05:16 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-09 03:05:16 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-10 03:05:11 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-11 03:05:14 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-12 03:05:11 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-13 03:05:14 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-14 03:05:11 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-15 03:05:14 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-16 03:05:15 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-17 03:05:11 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-18 03:05:15 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-19 03:05:11 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-20 03:06:34 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-21 03:05:11 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-22 03:05:15 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-23 03:05:12 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-24 03:05:16 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-25 03:05:15 AEST][fetch_ha_icons.sh] Failed icon for dyson
[2025-07-26 03:05:11 AEST][fetch_ha_icons.sh] Failed icon for dyson
