178.211.139.123 - - [17/May/2025:01:39:03 +0000] "GET / HTTP/1.1" 404 187 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
103.224.53.7 - - [17/May/2025:01:44:04 +0000] "GET / HTTP/1.1" 404 153 "-" "curl/7.84.0"
103.224.53.7 - - [17/May/2025:01:44:06 +0000] "GET /index.php HTTP/1.1" 200 80481 "-" "curl/7.84.0"
185.98.13.126 - - [17/May/2025:01:46:50 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
103.224.53.7 - - [17/May/2025:01:50:15 +0000] "HEAD / HTTP/1.1" 404 0 "-" "curl/7.84.0"
23.178.112.105 - - [17/May/2025:01:54:58 +0000] "GET /.well-known/acme-challenge/7AGyaW6r9oVLwTJuaxYqql6GeJuoPTUhNUypUwjqReo HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
18.118.119.46 - - [17/May/2025:01:54:58 +0000] "GET /.well-known/acme-challenge/7AGyaW6r9oVLwTJuaxYqql6GeJuoPTUhNUypUwjqReo HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
3.1.25.225 - - [17/May/2025:01:54:58 +0000] "GET /.well-known/acme-challenge/7AGyaW6r9oVLwTJuaxYqql6GeJuoPTUhNUypUwjqReo HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
54.202.155.76 - - [17/May/2025:01:54:58 +0000] "GET /.well-known/acme-challenge/7AGyaW6r9oVLwTJuaxYqql6GeJuoPTUhNUypUwjqReo HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
13.51.175.54 - - [17/May/2025:01:54:59 +0000] "GET /.well-known/acme-challenge/7AGyaW6r9oVLwTJuaxYqql6GeJuoPTUhNUypUwjqReo HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
139.59.132.8 - - [17/May/2025:01:55:10 +0000] "GET / HTTP/1.1" 404 153 "-" "-"
195.123.244.84 - - [17/May/2025:01:55:13 +0000] "HEAD / HTTP/1.1" 404 0 "http://ww2.ktp.digital" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
139.59.132.8 - - [17/May/2025:01:55:16 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Linux; Android 6.0; HTC One M9 Build/MRA613271) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.1113.98 Mobile Safari/537.3"
139.59.132.8 - - [17/May/2025:01:55:17 +0000] "GET /@vite/env HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:18 +0000] "GET /actuator/env HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:19 +0000] "GET /server HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:20 +0000] "GET /version HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:21 +0000] "GET /.vscode/sftp.json HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:22 +0000] "GET /about HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:23 +0000] "GET /debug/default/view?panel=config HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:24 +0000] "GET /v2/_catalog HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:24 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:25 +0000] "GET /server-status HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:26 +0000] "GET /login.action HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:27 +0000] "GET /_all_dbs HTTP/1.1" 404 125 "-" "Mozilla/5.0 (l9scan/2.0.930313e26383e26393e26363; +https://leakix.net)"
139.59.132.8 - - [17/May/2025:01:55:28 +0000] "GET /.DS_Store HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:29 +0000] "GET /.env HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:30 +0000] "GET /.git/config HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:31 +0000] "GET /s/930313e26383e26393e26363/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:32 +0000] "GET /config.json HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:33 +0000] "GET /telescope/requests HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:33 +0000] "GET /info.php HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
139.59.132.8 - - [17/May/2025:01:55:34 +0000] "GET /?rest_route=/wp/v2/users/ HTTP/1.1" 404 125 "-" "Go-http-client/1.1"
103.224.53.7 - - [17/May/2025:01:55:41 +0000] "GET / HTTP/1.1" 404 125 "https://chatgpt.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
103.224.53.7 - - [17/May/2025:01:55:41 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "https://ww2.ktp.digital/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
157.180.29.204 - - [17/May/2025:01:56:21 +0000] "GET / HTTP/1.1" 404 187 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 GLS/100.10.9939.100"
103.224.53.7 - - [17/May/2025:01:56:49 +0000] "GET / HTTP/1.1" 404 125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
103.224.53.7 - - [17/May/2025:01:58:25 +0000] "HEAD / HTTP/1.1" 404 0 "-" "curl/7.84.0"
103.224.53.7 - - [17/May/2025:02:00:54 +0000] "HEAD / HTTP/1.1" 404 0 "-" "curl/7.84.0"
103.224.53.7 - - [17/May/2025:02:02:02 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/7.84.0"
103.224.53.7 - - [17/May/2025:02:04:34 +0000] "GET / HTTP/1.1" 200 24589 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
103.224.53.7 - - [17/May/2025:02:19:47 +0000] "GET / HTTP/1.1" 200 24587 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15"
103.224.53.7 - - [17/May/2025:02:19:56 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
103.224.53.7 - - [17/May/2025:02:19:56 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
103.224.53.7 - - [17/May/2025:02:19:56 +0000] "GET /favicon.ico HTTP/1.1" 404 125 "-" "com.apple.WebKit.Networking/20621.1.15.11.10 Network/4277.101.3 macOS/15.4.1"
20.65.193.168 - - [17/May/2025:02:37:46 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 125 "-" "Mozilla/5.0 zgrab/0.x"
